Title,Review,Rating
Not a f1 fan but loved this show!,"I've never watched an f1 race and know nothing about the drivers or sport other than its for the rich and famous. I was so surprised at how much I REALLY liked this series. Getting to know the drivers, cars, dirty details, everything. It is so well done. Dont think ill be watching any f1 races in 2019 but will be expectantly waiting for season 2!",10
Made me a Formula 1 Fan,I had never watched an F1 race before. Had no clue of the rules and points based system. Now I feel like I'm the biggest Formula 1 fan. Amazing cinematography. Best racing documentary ever made out there.,10
Binge Worthy,"As a female who has never even held a drivers licence I doubt greatly that I am the F1's target market but for the 2019 that's going to change. This doco series puts a personality into the sport that I often just assumed was bland & full of thugs. Utterly fascinating, it also does (in my opinion) an excellent job of explaining the rivalries between the different company factions. Really hope there will be a season 2.",9
This is returning F1 to me,"Captures all the stuff just outside the headlines of the sport, and goes behind the scenes better than anyone before.Especially interesting to get close to many of the ""smaller"" drivers, as most of us already know all there is to know about Hamilton, Vettel, etc.If you like the NFL Network Gameday productions, you will like this as well - provided you like racing ofcourse :)I'm a fan, after binge watching the first season.",9
Very good production indeed,"It's so good to watch a F1 show that isn't mainly focused on Mercedes and Ferrari.
You really get to see what goes on inside the world of F1 and hear personal stories from the drivers and the teams.
I'd recommend it to every fan of the sport.",10
A real insight,"As a F1 fan, it is very exciting to get a sneak peek behind the scenes, and see what happened in certain situations during last years season. The drivers and their teams show how they really feel about incidents on and off the track. We see the reactions on Haas F1 team, when both cars had to retire from very good positions in the first race of the season, because of errors during pitstops. We also get a better insight to why Daniel Ricciardo decided to sign with a different team for the 2019 season.
This is just a few of the things I like about this documentary series, I recommend you watch it if you are a F1 fan.",10
I love this...,"In the day and age of social media everybody is a 'backseat driver' and wannabe critic, wether positive or negative. So I'm not going to say much in-depth about this mini-documentary.I loved the editing, use of material and insight not normally given into F1. Anyone who likes F1 to a certain extend and is geared up towards the 2019 season will most likely enjoy this as a primer. Anyone who isn't into F1 yet, but has a slight interest should get a good grasp of all the politics, mindgames et al that go on behind the scenes aswell.Liberty Media and Netflix, please do this every year and never mind the critics!10/10 well deserved from me",10
Perfect precursor to the 2019 F1 season,"A really great way of showing the sport from the inside, as well as the several conflicts between teams and drivers that happened during the 2018 season. Good soundeffects in the race and crash scenes gave me goosebumps several times.",10
F1 at its best,"As a fun and even for those who aren't, a must see series.
Very well made and gives an approach of the fastest sports",8
"Nothing Truly Exceptional, But It Made Me a Fan of the Sport for sure.","The most dramatic season in F1 in years and Netflix screwed it up (somewhat). The false commentary throughout annoyed me then just pissed me off! False razzmatazz of what qualifying day is about was just nonsense. There was signs of the original insight you got from the first three brilliant seasons but this just became more and more of a promotional series for the FIA. Some episodes to the same high standards, others just staged and orchestrated.Lando Norris has even complained on Twitter that the editing has painted incorrect pictures of him and Ricciardo by adding remarks made from one race into another to hype it up. That's just poor.",10
F1 on the very best,"As a lifelong F1 fan, the post production commentary is killing this show... Creating fake battles, debates, rivalries loses all grip on reality that this show could, AND SHOULD, have! Some of the sounds effects are just simply wrong, not even using the correct era of cars (sometimes even using V8 era sounds on onboard footage), and even worse due to COVID and everyone using masks, creating dialogues between team bosses or drives, that never actually happened!DTS has footage and access to create AMAZING content, but they decided to create their own storyline... No wonder Max Verstappen doesn't want to be part of this show after season 1, and if they keep this up, I wonder how many other drivers will do the same!",9
"Brilliant series, especially for non F1 fans",I have never really cared for racing other than video games and being American most friends of mine that do like racing are nascar fans. Left turn driving only is boring but I randomly started this show on Netflix and I ended up binging it. It even made me look up f1 schedule on tv and since the first season I watch most races or at least record them. Well done show to see the back story of what's going on in the f1 world.,7
3 brilliant seasons and then this?,"It takes me just 24 hours to see all the 10 episodes. The film is amazing. Definitely i'm prepared for the season, that begins next week! So good luck to all drivers and let the show begins!",2
Get rid of the post production commentary,"As a F1 fan, I really, really liked this serie. It gives such depth to the entire circus that's traveling around the world each and every year. The editing and the sound effects are really strong and give you that immersive feeling of power and speed. Please continue next season, I'm sure you will make a lot of people happy!",10
I watch f1 races now because of this show haha,"Ok. So I used to watch every race, every qualifying, every practice session. Schmacher and Häkkinen were my firsts and that lead to me becoming a hardcore Räikkönen fan.Things change. Things become boring and F1 is heading in that direction. Mercedes dominance is well and good for them but not for the consumer. But this show, brought back memories, interest and an overall appreciation for the sport of F1 again. Well done. May this show long continue.",10
An amazing story!,"Poor, poor Lewis Hamilton, he was robbed of his title. He was picked last for his 3rd grade soccer team simply because all 3rd graders are racist. I feel horrible for him being one of 20, yes, TWENTY F1 drivers in THE WORLD.But I digress... Netflix obviously has to push their narrative with completely out of context reactions, interviews and reactions. Seasons 1 and 2 were exceptional. 3 was clearly not up to par and 4 complete crap. The visuals of the races are great at times when they're not cherry picked.",10
Please continue next year,"Christ almighty. Just no pleasing some people.Thank you Liberty, Netflix and of course F1. Greatest sport and spectacle on the planet. Any chance of the same for next near?",10
Back In,"(Flash Review)This was a really good in-depth look at some significant on track battles, driver and team insights and challenges throughout the 2018 season. Less technical and more emotional. There are veteran teams struggling, drivers fighting to keep their seat with new younger drivers aiming to make their mark and really good insights into what is really happening between the midfield teams that are often overlooked with Ferrari and Mercedes as dominating teams. The footage is high quality with F1 Insiders adding their thoughts. It was all edited to cover various moments from teams and drivers while also moving through the season. Overall, this was very engaging for big F1 fans and hopefully if they do this again Ferrari and Mercedes participate.",10
Pushing the narrrative,"Clearly aimed at new or casual fans, it's good entertainment and helps see the life of F1 drivers from the inside, but it makes some things up and some scenes are from races that have nothing to do with what's being shown in the episode.",9
Fascinating insight. Thank you,"Loved season 1, got hooked, and so well produced, you felt the speed of the car sitting in your chair, ace!Season 2 still very good, still fresh
Season 3 also good... although the focus on stable bosses became a bit much, and the not following races in chronological order...Season 4 starts with a full forced episode 1 but you already know the story that red bull will win by a technicality at the end... and then they keep on focusing on the stable bosses. I can't stand that Horner guy anymore showcasing his english house and spicegirl wife, he thinks he's as important as the drivers, yada yada. I gave up on episode 2. No more!",8
Deep Insider Insights; Non-Technical,"As long F1 fan, this is nice for back stage footage, but absolutely terrible as doc. Fake narratives, fake sound effects, driver mics put in different times. Weirdly cut where it doesn't make sense. The fake commentator. He's talking about a lap and the cars are in totally different place on track, Missed ton of stuff. But the fake drama is just bad.Get some proper directors and editors that know F1. Stop creating fake stuff, 2020 season was perfect with a lot of drama. Instead you skipped most of it and created made up stories.",8
Cool,"Netflix makes up a lot of things and are biased. Go watch 2021 season and then DTS, then YOU will feel robbed from reality.Examples:
They depicts mazepins sochi result as a great achievement. He finished ahead of his teammate and latifi. They both DNF'ed.... and he finshed 18th...They picture Hamilton as a clean racer and a victim of Max's driving style. But Hamilton is just as ruthless as Max. You cant be a 7x champion and be inocent little puppy....DTS is ridiculous and far from the reality.",6
3 good seasons then crap!,"The style and way this series is presented is truly remarkable simply because I never thought there could be a show that would interest me so much that I would start watching and following any form of racing. Now I'm waking up early on the weekends to watch the qualifiers and racing haha. I don't know the history of F1 ratings or general world interest, but this series has to have created a huge new interest in the sport. I truly hope they keep making the series every season.",1
Get some new editors and directors,Simply amazing show. Binged watched both series and now am looking forward to watching the 2020 season then the netflix show later. Netflix should do the same with the PGA . I love shows that put context to sport like this. Truly a great great piece of entertainment and sports documenting.,10
Fake and manipulating,"Formula One: Drive to survive.I'm not really a fan of Formula One although I love cars.
On TV the races never really gripped me.
However this Netflix documentary is absolutely fantastic.
I decided to give this a go because I wanted to give my Home Cinema system a workout and this show is shot in 4K with Dolby Atmos sound.
Wow Netflix!!!
This is by far the best thing I've seen on Netflix in terms of picture and sound quality. More on that later.The actual documentary follows a group of F1 teams throughout the 2018 season. This show is very exciting. The production values are astonishing. This is how Formula One should be seen.
The races in particular are excellent as we are exposed close up to the pressures of running a F1 team.
It's nice to get to know the man behind the wheel and those working tirelessly to keep him and the car on the track.In terms of the picture quality this show is sublime. It's 4K crisp with colours of the cars and environment popping out of the screen. Detail is spellbinding. This is unbelievable picture quality regarding that this is streaming content.
If the image quality is good then the sound will actually go through your roof.
If you do have a Dolby Atmos set up then be sure to crank it up way passed eleven.
This is the best Atmos track available on Netflix.
I would even go so far to say it rivals some Blu-ray Discs I own.
Every speaker works overtime and with the volume at a high you will think that an F1 car is about to go through your living room.
This is the best utilisation of height channels that I have heard yet!
Engine sound and instructions from the pit can be heard from above.
The use of spacial effects are exemplary. The soundstage is magnificent as cars pass from one speaker to another.
Usually height channels come in to use rather sparsely. Not here!
You'll be ducking for cover!
Bass is delicious. You would not guess that this is compressed streamed content.
My Subwoofer would almost leap from its seated position with every crash and collision.
Not everyone can afford to be there at a real F1 race but this show puts you very close to the action.
This is a superbly made documentary that looks, sounds and feels that it's been made with the money of a successful F1 teams budget for the season.Very impressive!",9
Not a racing fan but I now watch F1 regularly,"Here you have it all. nobody is holding back, swearing words flying everywhere, directors, team leaders, drivers pissed of one to another, remorse, hate, jealousy, friendship, team spirit, depression, the complete blend of what Formula 1 is all about, showing that it is much more than a fast-paced sport. I deeply recommend this to anyone who has not seen it yet, fantastic show.",9
Not a F1 fan but fast becoming one,"I feel like when a season has more content, this series' quality deteriorates proportionally. They could've had so many good stories, but decided to spend an entire episode on Haas (or even worse Mazepin). No mention of the amazing defense of Alonso against Hamilton in Hungarian GP. Perez's Abu Dhabi defense got 30 seconds? After this season, I'll probably stop watching DTS. I am not getting anything interesting from this show.I am keeping 8-star rating, because I really enjoyed the first two season's and decided watch F1 again after like 10 years. However, if you followed the entire 2021 season, you are not missing much by not watching the last season.",8
This is the best looking and sounding content on Netflix,"This was intended (by Liberty Media) to attract the new globalist youngster to the Formula 1 Phenomenon... I don't mind, since F1 will be more on TV and not only on that website... still some Cable TV providers don't think F1 is important for people to see those super professional drivers at work... still, for CTVP important are cooking shows and other garbage...",9
Uncensored explicit Formula 1.,"Absolutely fantastic series
I wasn't into F1 at all before I watched this. I am now. Pure brilliance.",10
Deteriorating Quality,"For F1 fans, this is the ultimate behind the scenes. It's so raw, full of mind-blowing politics that goes on behind the door. Absolutely brilliant. The production is on point, interview and cut scenes are so specified, just mind-blowing for someone who watches F1 and wants to go deeper into the understanding of the teams.",10
Marketing,I'm not a huge fan of Formula 1 but this was absolutely gripping. It builds and creates multiple layers of stories not just from the best team and drivers but the lower ranks where its just as interesting learning about the politics and drama of F1 racing. The races are condensed into a thrilling narrative to rival any drama. I would really recommend this if you are interested in any sport regardless of F1. This is the best way of catching up on the F1 season in my opinion!,9
Top notch,"Whilst season 1 and 2 thoroughly deserved a rating of 9/10 from me, S3 had already seen a decline due to the fake commentary, misplaced audio, interviews and artificial rivalry. Unfortunately S4 of DTS takes all of that to an extreme and adds more. There are so many genuinely amazing and intense moments of the crazy 2021 season uncovered, while we're forced to watch staged interviews or top teams' PR stunts. No mention of Kimi retiring after the longest ever F1 career, no mention of the Norris drama in Sochi. No coverage of the fantastic battle between Hamilton and Alonso in Hungary, which was paramount for Ocon to win the race. Instead we watch Yuki talk about his poo. Out ot sync engine noise (flat out in chicanes, decelerating on the straights) etc, I could go on.F1 and Netflix must change the approach. Show us more behind the scenes stuff. Genuine moments and look into the life of F1 teams. Prioritise the already exciting reality over prefabricated moments. That's why S1 and S2 were so successful.",7
Absolutely brilliant!,"This series has made a great job of drawing new fans to Formula 1. However it is a really inaccurate depiction and frustrating experience to watch for anyone who follows the sport seriously. Radio messages that are spliced and often completely taken out of context, narratives that are completely fabricated, focus on things that are completely irrelevant to the season. There are just so many flaws that even giving it four stars feels generous.",4
